198	92.00	-1.00	48.00	48.00	45.00	420.00	115.00	-1.00	98.00	-1.00	100.00
184	84.00	-1.00	44.00	33.00	33.00	350.00	102.00	-1.00	92.00	-1.00	130.00
183	83.00	-1.00	44.00	37.00	34.00	320.00	98.00	-1.00	91.00	-1.00	127.00
182	80.00	-1.00	42.00	35.00	30.00	398.00	65.00	-1.00	85.00	-1.00	140.00
180	80.00	-1.00	43.00	36.00	30.00	388.00	63.00	-1.00	84.00	-1.00	129.00
183	81.00	-1.00	42.00	37.00	35.00	345.00	45.00	-1.00	90.00	-1.00	105.00
180	82.00	-1.00	44.00	43.00	37.00	355.00	82.00	-1.00	88.00	-1.00	109.00
180	81.00	-1.00	44.00	46.00	42.00	362.00	90.00	-1.00	86.00	-1.00	113.00
185	82.00	-1.00	45.00	26.00	16.00	295.00	180.00	-1.00	92.00	1.00	109.00
187	84.00	-1.00	46.00	27.00	16.50	299.00	178.00	-1.00	95.00	1.00	119.00
177	65.00	-1.00	41.00	26.00	18.00	209.00	160.00	-1.00	86.00	1.00	120.00
180	72.00	-1.00	43.00	33.00	19.00	236.00	175.00	-1.00	85.00	1.00	115.00
181	75.00	-1.00	43.00	42.00	31.00	198.00	161.00	-1.00	83.00	1.00	105.00
176	68.00	-1.00	42.00	50.00	36.00	195.00	177.00	-1.00	82.00	1.00	96.00
175	67.00	1.00	42.00	55.00	38.00	185.00	187.00	-1.00	80.00	1.00	105.00
178	75.00	-1.00	42.00	30.00	24.00	203.00	208.00	-1.00	81.00	1.00	118.00
166	47.00	-1.00	36.00	32.00	28.00	270.00	78.00	1.00	75.00	-1.00	112.00
170	60.00	1.00	38.00	23.00	20.00	312.00	99.00	1.00	81.00	-1.00	110.00
172	64.00	1.00	39.00	24.00	22.00	308.00	91.00	1.00	82.00	-1.00	102.00
169	51.00	1.00	36.00	24.00	23.00	250.00	89.00	1.00	78.00	-1.00	98.00
168	52.00	1.00	37.00	27.00	23.50	260.00	86.00	1.00	78.00	-1.00	100.00
157	47.00	1.00	36.00	32.00	32.00	235.00	92.00	1.00	70.00	-1.00	127.00
164	50.00	1.00	38.00	41.00	34.00	255.00	134.00	1.00	76.00	-1.00	101.00
162	49.00	1.00	37.00	40.00	34.00	265.00	124.00	1.00	75.00	-1.00	108.00
168	50.00	1.00	37.00	49.00	34.00	170.00	162.00	1.00	76.00	1.00	135.00
166	49.00	1.00	36.00	21.00	14.00	150.00	245.00	1.00	75.00	1.00	123.00
158	46.00	1.00	34.00	30.00	18.00	120.00	120.00	1.00	70.00	1.00	119.00
163	50.00	1.00	36.00	18.00	11.00	143.00	136.00	1.00	75.00	1.00	102.00
162	50.00	1.00	36.00	20.00	11.50	133.00	146.00	1.00	74.00	1.00	132.00
165	51.00	1.00	36.00	36.00	26.00	121.00	129.00	1.00	76.00	1.00	126.00
161	48.00	1.00	35.00	41.00	31.50	116.00	196.00	1.00	75.00	1.00	120.00
160	48.00	1.00	35.00	40.00	31.00	118.00	198.00	1.00	74.00	1.00	129.00
